FILENAME,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
1187SCN.txt,186,36,130,36,334,44,169,44,0.51,0.26,0.19,0.00,0.00,0.00,186,36,43.00,40.70,0.56,0.80,7.20,10.18,0.90,25.05,0.83,28.20,3.75,0.77,0.20,0.78,0.13,0.16,0.29
1188SCN.txt,160,35,113,34,279,45,140,43,0.50,0.31,0.22,0.00,0.00,0.00,160,34,42.50,38.20,0.57,0.82,6.77,9.58,0.90,24.77,0.79,20.48,3.20,0.81,0.19,0.83,0.13,0.19,0.31
1189SCN.txt,55,7,32,6,89,9,41,8,0.46,0.20,0.13,0.00,0.00,0.00,55,33,36.00,36.30,0.62,0.66,4.12,5.83,0.89,18.18,0.88,6.12,1.75,0.78,0.17,0.74,0.07,0.22,0.29
1190SCN.txt,170,38,114,36,307,44,142,42,0.46,0.30,0.22,0.10,0.31,0.39,170,32,40.60,41.70,0.55,0.79,6.86,9.70,0.90,24.10,0.83,19.86,3.15,0.80,0.17,0.83,0.13,0.15,0.28
1191SCN.txt,80,21,57,21,146,29,79,29,0.54,0.37,0.26,0.12,0.24,0.34,80,36,38.50,37.00,0.55,0.77,4.68,6.62,0.88,17.93,0.76,9.94,2.23,0.72,0.16,0.80,0.09,0.10,0.19
1193SCN.txt,185,39,133,39,320,43,158,43,0.49,0.27,0.21,0.05,0.10,0.22,185,35,42.10,40.40,0.58,0.80,7.31,10.34,0.91,26.37,0.85,29.88,3.87,0.84,0.22,0.90,0.12,0.17,0.29
1195SCN.txt,45,9,23,9,63,13,28,12,0.44,0.43,0.20,0.20,0.20,0.32,45,39,36.70,37.20,0.71,0.78,4.01,5.67,0.92,22.16,1.00,5.00,1.58,0.82,0.18,0.81,0.11,0.07,0.18
1196SCN.txt,143,28,100,28,232,34,120,32,0.52,0.27,0.20,0.00,0.00,0.00,143,32,42.10,38.30,0.62,0.77,6.64,9.39,0.91,26.63,0.85,19.59,3.13,0.83,0.19,0.83,0.12,0.20,0.33
1197SCN.txt,128,29,83,29,236,35,122,35,0.52,0.29,0.23,0.05,0.05,0.16,128,35,40.10,35.70,0.54,0.72,5.89,8.33,0.89,21.19,0.70,9.80,2.21,0.68,0.11,0.76,0.08,0.12,0.20
1198SCN.txt,82,13,59,13,138,17,79,16,0.57,0.20,0.16,0.12,0.25,0.35,82,32,39.40,37.30,0.59,0.68,4.94,6.98,0.89,20.26,0.81,10.56,2.30,0.75,0.16,0.75,0.08,0.18,0.25
1199SCN.txt,50,10,30,10,102,15,53,15,0.52,0.28,0.20,0.08,0.08,0.20,50,31,33.20,32.80,0.49,0.65,3.50,4.95,0.85,13.03,0.54,3.77,1.37,0.57,0.13,0.71,0.08,0.09,0.17
1200SCN.txt,154,31,109,31,250,33,131,33,0.52,0.25,0.20,0.00,0.00,0.00,154,35,43.10,40.20,0.62,0.82,6.89,9.74,0.91,27.33,0.70,16.03,2.83,0.83,0.18,0.92,0.16,0.17,0.33
1201SCN.txt,228,44,171,44,492,59,235,57,0.48,0.24,0.19,0.05,0.14,0.27,228,39,43.40,37.80,0.46,0.79,7.27,10.28,0.88,21.69,0.62,24.14,3.47,0.73,0.17,0.83,0.13,0.14,0.27
1202SCN.txt,92,17,59,17,189,22,91,22,0.48,0.24,0.18,0.09,0.17,0.29,92,36,37.40,34.30,0.49,0.69,4.73,6.69,0.86,16.57,0.61,8.52,2.06,0.65,0.15,0.73,0.09,0.09,0.18
1203SCN.txt,210,38,151,38,517,47,238,46,0.46,0.19,0.18,0.00,0.00,0.00,210,34,38.40,36.90,0.41,0.74,6.53,9.24,0.86,18.82,0.59,19.45,3.12,0.63,0.14,0.72,0.11,0.15,0.25
