File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1073SCN_0_processed,444,222,397,21,28,5,8,12,220,202,3.5765765,0.01483836777954425,9,3.7425072644250714,0.05485901422379148
1085SCN_0_processed,329,187,304,14,20,1,6,6,187,162,3.2513368,0.01627278477373354,10,4.1685354493703635,0.03480487658088908
1088SCN_0_processed,149,76,141,7,10,1,3,9,76,73,3.7105262,0.0456140350877193,7,3.2835087719298257,0.10897983154480627
1089SCN_0_processed,1255,362,1175,244,277,13,35,161,361,333,6.4917126,0.013544328981803156,9,3.1557556171129573,0.18239738897882923
1090SCN_0_processed,230,122,218,14,16,3,3,11,122,112,3.5737705,0.026961116379894325,9,3.8180463351849343,0.08326339081300253
1091SCN_0_processed,418,212,392,27,36,4,9,18,212,190,3.6981132,0.015738174014128588,9,3.900786908700707,0.09034711684890286
1092SCN_0_processed,358,159,339,36,43,5,8,28,158,153,4.264151,0.023166945306902317,7,3.2935580101588333,0.15396688910092052
1093SCN_0_processed,852,331,804,105,125,12,25,40,331,308,4.858006,0.01221276206170466,9,3.5260459580701284,0.11364519047358065
1094SCN_0_processed,273,130,259,26,34,0,8,17,130,116,3.9846153,0.026833631484794274,8,3.4209898628503277,0.13033127288033994
1095SCN_0_processed,404,216,379,21,29,0,8,15,216,201,3.5092592,0.015073212747631352,10,3.8371231696813095,0.06895625124275973
1096SCN_0_processed,121,57,113,16,19,0,3,11,57,52,3.9649122,0.05889724310776942,7,3.0263157894736827,0.1709679610608403
1097SCN_0_processed,1050,371,981,147,172,9,26,71,371,325,5.2884097,0.011655860712464486,11,3.4238362351569918,0.13146654754524498
1099SCN_0_processed,473,161,446,131,145,0,14,46,161,140,5.540373,0.023369565217391305,11,3.265683229813663,0.17633411347791658
1100SCN_0_processed,296,139,280,27,30,0,3,15,139,129,4.028777,0.026066103638828067,9,3.452090501511833,0.11360869814603376
1101SCN_0_processed,253,125,235,24,34,2,10,14,124,110,3.76,0.02567741935483871,8,3.58575924468922,0.12553918457675575
1102SCN_0_processed,170,110,159,10,10,0,0,2,109,88,2.8909092,0.024854045037531275,10,4.244308528712196,0.040049193231011415
1103SCN_0_processed,564,238,513,54,77,4,23,50,237,218,4.3109245,0.015317519412828422,6,3.146356289780449,0.16997623781215648
1104SCN_0_processed,191,96,173,20,22,1,2,11,91,71,3.6041667,0.03289473684210526,10,3.442490842490841,0.08563995032745032
1105SCN_0_processed,1303,389,1166,211,230,11,21,125,389,332,5.9948587,0.012257175416743964,9,3.348859088861209,0.11628498280284313
1106SCN_0_processed,675,266,617,82,91,4,10,25,265,237,4.6390977,0.014810611434245993,9,3.5343053173241885,0.07832356858574463
1107SCN_0_processed,230,102,210,36,43,0,7,15,102,80,4.117647,0.0324208891477383,12,3.727819840807609,0.1645767170316506
1108SCN_0_processed,919,289,841,163,189,9,28,96,285,253,5.8200693,0.015450788158400616,8,3.2919199406968143,0.11527323745536174
1109SCN_0_processed,505,246,457,32,41,15,17,22,243,211,3.7154472,0.013306786129085781,8,3.7188722239227294,0.0641464607159267
1110SCN_0_processed,859,259,793,190,211,14,27,71,259,234,6.1235523,0.01700038909341235,6,3.1258268235012463,0.13620977709370094
1111SCN_0_processed,471,230,434,43,58,3,15,20,227,194,3.7739131,0.014163660527814695,9,3.6723324626720206,0.08479298986773491
1113SCN_0_processed,807,308,755,103,125,4,23,72,308,281,4.9025974,0.013240830830407377,7,3.315559033800078,0.11732744898734894
1114SCN_0_processed,446,219,411,35,43,2,8,17,219,197,3.7534246,0.015332411712957145,11,3.8493988521637132,0.06732713785072161
1115SCN_0_processed,117,61,103,7,11,1,4,9,60,42,3.3770492,0.04972677595628415,8,3.5480225988700576,0.1695029924538121
1116SCN_0_processed,111,57,99,12,13,0,1,4,56,52,3.4736843,0.05388471177944862,6,3.1129870129870136,0.14645485324155688
1117SCN_0_processed,81,49,74,3,8,0,5,3,49,36,3.0204082,0.05612244897959184,9,3.6122448979591826,0.12617257429287507
1118SCN_0_processed,1651,466,1557,335,394,17,65,304,466,437,6.6824036,0.010577322442198533,9,3.1189994923623576,0.21956858905438123
1119SCN_0_processed,69,51,63,0,1,0,1,3,51,36,2.4705882,0.04862745098039216,15,4.756078431372549,0.08670703575547865
